method,coverage,risk
final_confidence,0.64375,0.067994360499723
final_confidence,0.65,0.06827051096103462
final_confidence,0.65625,0.06792892172843715
final_confidence,0.6625,0.06790549565841343
final_confidence,0.66875,0.06742974584049766
final_confidence,0.675,0.0671748109181264
final_confidence,0.68125,0.06670309103103887
final_confidence,0.6875,0.06623907595590499
final_confidence,0.69375,0.06608428336940154
final_confidence,0.7,0.0659000948454789
final_confidence,0.70625,0.06538079500539942
final_confidence,0.7125,0.06701502077902396
final_confidence,0.71875,0.06844257109951811
final_confidence,0.725,0.06810092804021238
final_confidence,0.73125,0.06783991452682955
final_confidence,0.7375,0.06850702974787931
final_confidence,0.74375,0.06821375274046959
final_confidence,0.75,0.0688618513570624
final_confidence,0.75625,0.07000767094774002
final_confidence,0.7625,0.0708559925313059
final_confidence,0.76875,0.0720578931036058
final_confidence,0.775,0.07277829324848109
final_confidence,0.78125,0.07236172005189519
final_confidence,0.7875,0.07258384893248775
final_confidence,0.79375,0.07249778210942578
final_confidence,0.8,0.072268523051786
final_confidence,0.80625,0.07192613446272333
final_confidence,0.8125,0.07292526234113259
final_confidence,0.81875,0.0726681437642603
final_confidence,0.825,0.07323858646603194
final_confidence,0.83125,0.07457797476318734
final_confidence,0.8375,0.07539147233951998
final_confidence,0.84375,0.07590358605015068
final_confidence,0.85,0.07556288069315883
final_confidence,0.85625,0.07657658714106502
final_confidence,0.8625,0.07609959582655758
final_confidence,0.86875,0.07714950041703754
final_confidence,0.875,0.07787679505198092
final_confidence,0.88125,0.0788039678889647
final_confidence,0.8875,0.07974055244930209
final_confidence,0.89375,0.08046779777211799
final_confidence,0.9,0.08120735021919862
final_confidence,0.90625,0.08089512142569524
final_confidence,0.9125,0.08042338732125841
final_confidence,0.91875,0.08128486027388121
final_confidence,0.925,0.0809284503755746
final_confidence,0.93125,0.08172996589929611
final_confidence,0.9375,0.08135811509408526
final_confidence,0.94375,0.08266741856285464
final_confidence,0.95,0.08234864356056815
final_confidence,0.95625,0.0820954812860827
final_confidence,0.9625,0.08333878527866158
final_confidence,0.96875,0.08286454329137342
final_confidence,0.975,0.0839775735994798
final_confidence,0.98125,0.08364499823805507
final_confidence,0.9875,0.08324073210337418
final_confidence,0.99375,0.08435027777747875
final_confidence,1.0,0.08554111396721822
final_plus_disagreement,0.00625,0.07019861369856298
final_plus_disagreement,0.0125,0.040484605736388735
final_plus_disagreement,0.01875,0.03943352152068101
final_plus_disagreement,0.025,0.03460678650021373
final_plus_disagreement,0.03125,0.03460020494283279
final_plus_disagreement,0.0375,0.03607099198853965
final_plus_disagreement,0.04375,0.03383793300605152
final_plus_disagreement,0.05,0.03378145015279414
final_plus_disagreement,0.05625,0.03579013747322976
final_plus_disagreement,0.0625,0.035615562637797527
final_plus_disagreement,0.06875,0.03770225831835173
final_plus_disagreement,0.075,0.03916582043151117
final_plus_disagreement,0.08125,0.03983635103125883
